,0
0,0.170734979705
1,0.0323574776275
2,0.00609761011324
3,0.00114677759314
4,0.000222066597479
5,4.39237918146e-05
6,8.78567988834e-06
7,1.76676535589e-06
8,3.56170617006e-07
9,7.18831301253e-08
10,1.45150098593e-08
11,2.93161924022e-09
12,5.92165052609e-10
13,1.19618466704e-10
14,2.41636647126e-11
15,4.88125471496e-12
16,9.86056919975e-13
17,1.99192659362e-13
18,4.02388025058e-14
19,8.12862210245e-15
20,1.64205952144e-15
21,3.31711777117e-16
22,6.70089637549e-17
23,1.35364542487e-17
24,2.7344937851e-18
25,5.52394013038e-19
26,1.11588897274e-19
27,2.25420292562e-20
28,4.55370646678e-21
29,9.1989245301e-22
30,1.85827112777e-22
31,3.75388619951e-23
32,7.58321075352e-24
33,1.53188142305e-24
34,3.09454764025e-25
35,6.25128352215e-26
36,1.26281932668e-26
37,2.55101635717e-27
38,5.15329811405e-28
39,1.04101572605e-28
40,2.10295177554e-29
41,4.24816461423e-30
42,8.58170063596e-31
43,1.73358597166e-31
44,3.50201020592e-32
45,7.07439704917e-33
46,1.42909616667e-33
47,2.88691154795e-34
48,5.8318386684e-35
49,1.17808743667e-35
50,2.37984979929e-36
51,4.80752522339e-37
52,9.71166280346e-38
53,1.96184918488e-38
54,3.96312382556e-39
55,8.00589085938e-40
56,1.61726686507e-40
57,3.26703443599e-41
58,6.59972342012e-42
59,1.33320753348e-42
60,2.69320729701e-43
61,5.44053747262e-44
62,1.09904083595e-44
63,2.22016807193e-45
64,4.48495279373e-46
65,9.06003550646e-47
66,1.8302142108e-47
67,3.69720853192e-48
68,7.46871642012e-49
69,1.50875246778e-49
70,3.04782492864e-50
71,6.15689915612e-51
72,1.243752778e-51
73,2.51250009715e-52
74,5.07549156861e-53
75,1.0252980564e-53
76,2.07120057286e-54
77,4.18402413452e-55
78,8.45213070507e-56
79,1.70741160086e-56
80,3.44913546237e-57
81,6.9675849876e-58
82,1.40751910411e-58
83,2.84332380868e-59
84,5.74378724767e-60
85,1.16030020379e-60
86,2.34391788007e-61
87,4.73493929464e-62
88,9.56503225415e-63
89,1.93222840526e-63
90,3.9032870051e-64
91,7.88501473361e-65
92,1.59284872642e-65
93,3.21770745011e-66
94,6.50007816987e-67
95,1.31307823565e-67
96,2.65254418161e-68
97,5.35839407304e-69
98,1.0824470801e-69
99,2.18664709097e-70
