,0
0,0.0
1,-0.0966533804052
2,-0.178616090953
3,-0.255153305582
4,-0.329437797638
5,-0.402640410187
6,-0.475279916688
7,-0.547617554828
8,-0.61979311368
9,-0.691882490553
10,-0.763926622294
11,-0.835947294127
12,-0.907955935641
13,-0.979958466384
14,-1.05195791824
15,-1.12395582951
16,-1.19595297448
17,-1.26794974023
18,-1.33994631917
19,-1.41194280643
20,-1.48393924887
21,-1.55593566946
22,-1.62793207942
23,-1.69992848423
24,-1.77192488655
25,-1.84392128766
26,-1.9159176882
27,-1.98791408846
28,-2.05991048858
29,-2.13190688864
30,-2.20390328867
31,-2.27589968868
32,-2.34789608869
33,-2.41989248869
34,-2.49188888869
35,-2.56388528869
36,-2.63588168869
37,-2.70787808869
38,-2.77987448869
39,-2.85187088869
40,-2.92386728869
41,-2.99586368869
42,-3.06786008869
43,-3.13985648869
44,-3.21185288869
45,-3.28384928869
46,-3.35584568869
47,-3.42784208869
48,-3.49983848869
49,-3.57183488869
50,-3.64383128869
51,-3.71582768869
52,-3.78782408869
53,-3.85982048869
54,-3.93181688869
55,-4.00381328869
56,-4.07580968869
57,-4.14780608869
58,-4.21980248869
59,-4.29179888869
60,-4.36379528869
61,-4.43579168869
62,-4.50778808869
63,-4.57978448869
64,-4.65178088869
65,-4.72377728869
66,-4.79577368869
67,-4.86777008869
68,-4.93976648869
69,-5.01176288869
70,-5.08375928869
71,-5.15575568869
72,-5.22775208869
73,-5.29974848869
74,-5.37174488869
75,-5.44374128869
76,-5.51573768869
77,-5.58773408869
78,-5.65973048869
79,-5.73172688869
80,-5.80372328869
81,-5.87571968869
82,-5.94771608869
83,-6.01971248869
84,-6.09170888869
85,-6.16370528869
86,-6.23570168869
87,-6.30769808869
88,-6.37969448869
89,-6.45169088869
90,-6.52368728869
91,-6.59568368869
92,-6.66768008869
93,-6.73967648869
94,-6.81167288869
95,-6.88366928869
96,-6.95566568869
97,-7.02766208869
98,
