,0
0,0.0
1,-0.352606033395
2,-0.61096509949
3,-0.825440234764
4,-1.03432412176
5,-1.24246155996
6,-1.4504794136
7,-1.6584749149
8,-1.86646580189
9,-2.07445568711
10,-2.28244535049
11,-2.49043496454
12,-2.69842456764
13,-2.90641416832
14,-3.11440376847
15,-3.3223933685
16,-3.53038296851
17,-3.73837256851
18,-3.94636216851
19,-4.15435176851
20,-4.36234136851
21,-4.57033096851
22,-4.77832056851
23,-4.98631016851
24,-5.19429976851
25,-5.40228936851
26,-5.61027896851
27,-5.81826856851
28,-6.02625816851
29,-6.23424776851
30,-6.44223736851
31,-6.65022696851
32,-6.85821656851
33,-7.06620616851
34,-7.27419576851
35,-7.48218536851
36,-7.69017496851
37,-7.89816456851
38,-8.10615416851
39,-8.31414376851
40,-8.52213336851
41,-8.73012296851
42,-8.93811256851
43,-9.14610216851
44,-9.35409176851
45,-9.56208136851
46,-9.77007096851
47,-9.97806056851
48,-10.1860501685
49,-10.3940397685
50,-10.6020293685
51,-10.8100189685
52,-11.0180085685
53,-11.2259981685
54,-11.4339877685
55,-11.6419773685
56,-11.8499669685
57,-12.0579565685
58,-12.2659461685
59,-12.4739357685
60,-12.6819253685
61,-12.8899149685
62,-13.0979045685
63,-13.3058941685
64,-13.5138837685
65,-13.7218733685
66,-13.9298629685
67,-14.1378525685
68,-14.3458421685
69,-14.5538317685
70,-14.7618213685
71,-14.9698109685
72,-15.1778005685
73,-15.3857901685
74,-15.5937797685
75,-15.8017693685
76,-16.0097589685
77,-16.2177485685
78,-16.4257381685
79,-16.6337277685
80,-16.8417173685
81,-17.0497069685
82,-17.2576965685
83,-17.4656861685
84,-17.6736757685
85,-17.8816653685
86,-18.0896549685
87,-18.2976445685
88,-18.5056341685
89,-18.7136237685
90,-18.9216133685
91,-19.1296029685
92,-19.3375925685
93,-19.5455821685
94,-19.7535717685
95,-19.9615613685
96,-20.1695509685
97,-20.3775405685
98,-20.5855301685
