,0,1
0,-36.0,3.0
1,-35.832,0.0
2,-35.664,0.0
3,-35.496,0.0
4,-35.328,0.0
5,-35.16,0.0
6,-34.992,0.0
7,-34.824,0.0
8,-34.656,0.0
9,-34.488,0.0
10,-34.32,0.0
11,-34.152,0.0
12,-33.984,0.0
13,-33.816,0.0
14,-33.648,0.0
15,-33.48,0.0
16,-33.312,0.0
17,-33.144,0.0
18,-32.976,0.0
19,-32.808,0.0
20,-32.64,0.0
21,-32.472,0.0
22,-32.304,0.0
23,-32.136,4.0
24,-31.968,0.0
25,-31.8,0.0
26,-31.632,0.0
27,-31.464,0.0
28,-31.296,0.0
29,-31.128,0.0
30,-30.96,0.0
31,-30.792,0.0
32,-30.624,0.0
33,-30.456,0.0
34,-30.288,0.0
35,-30.12,0.0
36,-29.952,0.0
37,-29.784,0.0
38,-29.616,0.0
39,-29.448,0.0
40,-29.28,0.0
41,-29.112,0.0
42,-28.944,0.0
43,-28.776,0.0
44,-28.608,0.0
45,-28.44,0.0
46,-28.272,0.0
47,-28.104,9.0
48,-27.936,0.0
49,-27.768,0.0
50,-27.6,0.0
51,-27.432,0.0
52,-27.264,0.0
53,-27.096,0.0
54,-26.928,0.0
55,-26.76,0.0
56,-26.592,0.0
57,-26.424,0.0
58,-26.256,0.0
59,-26.088,0.0
60,-25.92,0.0
61,-25.752,0.0
62,-25.584,0.0
63,-25.416,0.0
64,-25.248,0.0
65,-25.08,0.0
66,-24.912,0.0
67,-24.744,0.0
68,-24.576,0.0
69,-24.408,0.0
70,-24.24,0.0
71,-24.072,14.0
72,-23.904,0.0
73,-23.736,0.0
74,-23.568,0.0
75,-23.4,0.0
76,-23.232,0.0
77,-23.064,0.0
78,-22.896,0.0
79,-22.728,0.0
80,-22.56,0.0
81,-22.392,0.0
82,-22.224,0.0
83,-22.056,0.0
84,-21.888,0.0
85,-21.72,0.0
86,-21.552,0.0
87,-21.384,0.0
88,-21.216,0.0
89,-21.048,0.0
90,-20.88,0.0
91,-20.712,0.0
92,-20.544,0.0
93,-20.376,0.0
94,-20.208,0.0
95,-20.04,19.0
96,-19.872,0.0
97,-19.704,0.0
98,-19.536,0.0
99,-19.368,0.0
100,-19.2,0.0
101,-19.032,0.0
102,-18.864,0.0
103,-18.696,0.0
104,-18.528,0.0
105,-18.36,0.0
106,-18.192,0.0
107,-18.024,0.0
108,-17.856,0.0
109,-17.688,0.0
110,-17.52,0.0
111,-17.352,0.0
112,-17.184,0.0
113,-17.016,0.0
114,-16.848,0.0
115,-16.68,0.0
116,-16.512,0.0
117,-16.344,0.0
118,-16.176,0.0
119,-16.008,37.0
120,-15.84,0.0
121,-15.672,0.0
122,-15.504,0.0
123,-15.336,0.0
124,-15.168,0.0
125,-15.0,0.0
126,-14.832,0.0
127,-14.664,0.0
128,-14.496,0.0
129,-14.328,0.0
130,-14.16,0.0
131,-13.992,0.0
132,-13.824,0.0
133,-13.656,0.0
134,-13.488,0.0
135,-13.32,0.0
136,-13.152,0.0
137,-12.984,0.0
138,-12.816,0.0
139,-12.648,0.0
140,-12.48,0.0
141,-12.312,0.0
142,-12.144,40.0
143,-11.976,0.0
144,-11.808,0.0
145,-11.64,0.0
146,-11.472,0.0
147,-11.304,0.0
148,-11.136,0.0
149,-10.968,0.0
150,-10.8,0.0
151,-10.632,0.0
152,-10.464,0.0
153,-10.296,0.0
154,-10.128,0.0
155,-9.96,0.0
156,-9.792,0.0
157,-9.624,0.0
158,-9.456,0.0
159,-9.288,0.0
160,-9.12,0.0
161,-8.952,0.0
162,-8.784,0.0
163,-8.616,0.0
164,-8.448,0.0
165,-8.28,0.0
166,-8.112,39.0
167,-7.944,0.0
168,-7.776,0.0
169,-7.608,0.0
170,-7.44,0.0
171,-7.272,0.0
172,-7.104,0.0
173,-6.936,0.0
174,-6.768,0.0
175,-6.6,0.0
176,-6.432,0.0
177,-6.264,0.0
178,-6.096,0.0
179,-5.928,0.0
180,-5.76,0.0
181,-5.592,0.0
182,-5.424,0.0
183,-5.256,0.0
184,-5.088,0.0
185,-4.92,0.0
186,-4.752,0.0
187,-4.584,0.0
188,-4.416,0.0
189,-4.248,0.0
190,-4.08,51.0
191,-3.912,0.0
192,-3.744,0.0
193,-3.576,0.0
194,-3.408,0.0
195,-3.24,0.0
196,-3.072,0.0
197,-2.904,0.0
198,-2.736,0.0
199,-2.568,0.0
200,-2.4,0.0
201,-2.232,0.0
202,-2.064,0.0
203,-1.896,0.0
204,-1.728,0.0
205,-1.56,0.0
206,-1.392,0.0
207,-1.224,0.0
208,-1.056,0.0
209,-0.888,0.0
210,-0.72,0.0
211,-0.552,0.0
212,-0.384,0.0
213,-0.216,0.0
214,-0.048,57.0
215,0.12,0.0
216,0.288,0.0
217,0.456,0.0
218,0.624,0.0
219,0.792,0.0
220,0.96,0.0
221,1.128,0.0
222,1.296,0.0
223,1.464,0.0
224,1.632,0.0
225,1.8,0.0
226,1.968,0.0
227,2.136,0.0
228,2.304,0.0
229,2.472,0.0
230,2.64,0.0
231,2.808,0.0
232,2.976,0.0
233,3.144,0.0
234,3.312,0.0
235,3.48,0.0
236,3.648,0.0
237,3.816,0.0
238,3.984,49.0
