,0,1
0,-20.0,2.0
1,-19.64,0.0
2,-19.28,0.0
3,-18.92,0.0
4,-18.56,0.0
5,-18.2,0.0
6,-17.84,0.0
7,-17.48,0.0
8,-17.12,0.0
9,-16.76,0.0
10,-16.4,0.0
11,-16.04,3.0
12,-15.68,0.0
13,-15.32,0.0
14,-14.96,0.0
15,-14.6,0.0
16,-14.24,0.0
17,-13.88,0.0
18,-13.52,0.0
19,-13.16,0.0
20,-12.8,0.0
21,-12.44,0.0
22,-12.08,5.0
23,-11.72,0.0
24,-11.36,0.0
25,-11.0,0.0
26,-10.64,0.0
27,-10.28,0.0
28,-9.92,0.0
29,-9.56,0.0
30,-9.2,0.0
31,-8.84,0.0
32,-8.48,0.0
33,-8.12,8.0
34,-7.76,0.0
35,-7.4,0.0
36,-7.04,0.0
37,-6.68,0.0
38,-6.32,0.0
39,-5.96,0.0
40,-5.6,0.0
41,-5.24,0.0
42,-4.88,0.0
43,-4.52,0.0
44,-4.16,18.0
45,-3.8,0.0
46,-3.44,0.0
47,-3.08,0.0
48,-2.72,0.0
49,-2.36,0.0
50,-2.0,0.0
51,-1.64,0.0
52,-1.28,0.0
53,-0.92,0.0
54,-0.56,0.0
55,-0.2,20.0
56,0.16,0.0
57,0.52,0.0
58,0.88,0.0
59,1.24,0.0
60,1.6,0.0
61,1.96,0.0
62,2.32,0.0
63,2.68,0.0
64,3.04,0.0
65,3.4,0.0
66,3.76,16.0
67,4.12,0.0
68,4.48,0.0
69,4.84,0.0
70,5.2,0.0
71,5.56,0.0
72,5.92,0.0
73,6.28,0.0
74,6.64,0.0
75,7.0,0.0
76,7.36,0.0
77,7.72,12.0
78,8.08,0.0
79,8.44,0.0
80,8.8,0.0
81,9.16,0.0
82,9.52,0.0
83,9.88,0.0
84,10.24,0.0
85,10.6,0.0
86,10.96,0.0
87,11.32,0.0
88,11.68,11.0
89,12.04,0.0
90,12.4,0.0
91,12.76,0.0
92,13.12,0.0
93,13.48,0.0
94,13.84,0.0
95,14.2,0.0
96,14.56,0.0
97,14.92,0.0
98,15.28,0.0
99,15.64,0.0
