,0
0,0.0
1,-0.22870161989
2,-0.431419830004
3,-0.615852414665
4,-0.794078117523
5,-0.970628513422
6,-1.14675576242
7,-1.32277938183
8,-1.49877817674
9,-1.67477113104
10,-1.85076273153
11,-2.02675402207
12,-2.20274524237
13,-2.37873644689
14,-2.55472764789
15,-2.73071884811
16,-2.90671004816
17,-3.08270124817
18,-3.25869244818
19,-3.43468364818
20,-3.61067484818
21,-3.78666604818
22,-3.96265724818
23,-4.13864844818
24,-4.31463964818
25,-4.49063084818
26,-4.66662204818
27,-4.84261324818
28,-5.01860444818
29,-5.19459564818
30,-5.37058684818
31,-5.54657804818
32,-5.72256924818
33,-5.89856044818
34,-6.07455164818
35,-6.25054284818
36,-6.42653404818
37,-6.60252524818
38,-6.77851644818
39,-6.95450764818
40,-7.13049884818
41,-7.30649004818
42,-7.48248124818
43,-7.65847244818
44,-7.83446364818
45,-8.01045484818
46,-8.18644604818
47,-8.36243724818
48,-8.53842844818
49,-8.71441964818
50,-8.89041084818
51,-9.06640204818
52,-9.24239324818
53,-9.41838444818
54,-9.59437564818
55,-9.77036684818
56,-9.94635804818
57,-10.1223492482
58,-10.2983404482
59,-10.4743316482
60,-10.6503228482
61,-10.8263140482
62,-11.0023052482
63,-11.1782964482
64,-11.3542876482
65,-11.5302788482
66,-11.7062700482
67,-11.8822612482
68,-12.0582524482
69,-12.2342436482
70,-12.4102348482
71,-12.5862260482
72,-12.7622172482
73,-12.9382084482
74,-13.1141996482
75,-13.2901908482
76,-13.4661820482
77,-13.6421732482
78,-13.8181644482
79,-13.9941556482
80,-inf
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
