,0,1
0,-28.0,1.0
1,-27.36,0.0
2,-26.72,0.0
3,-26.08,0.0
4,-25.44,0.0
5,-24.8,0.0
6,-24.16,2.0
7,-23.52,0.0
8,-22.88,0.0
9,-22.24,0.0
10,-21.6,0.0
11,-20.96,0.0
12,-20.32,4.0
13,-19.68,0.0
14,-19.04,0.0
15,-18.4,0.0
16,-17.76,0.0
17,-17.12,0.0
18,-16.48,8.0
19,-15.84,0.0
20,-15.2,0.0
21,-14.56,0.0
22,-13.92,0.0
23,-13.28,0.0
24,-12.64,0.0
25,-12.0,11.0
26,-11.36,0.0
27,-10.72,0.0
28,-10.08,0.0
29,-9.44,0.0
30,-8.8,0.0
31,-8.16,9.0
32,-7.52,0.0
33,-6.88,0.0
34,-6.24,0.0
35,-5.6,0.0
36,-4.96,0.0
37,-4.32,10.0
38,-3.68,0.0
39,-3.04,0.0
40,-2.4,0.0
41,-1.76,0.0
42,-1.12,0.0
43,-0.48,11.0
44,0.16,0.0
45,0.8,0.0
46,1.44,0.0
47,2.08,0.0
48,2.72,0.0
49,3.36,0.0
50,4.0,7.0
51,4.64,0.0
52,5.28,0.0
53,5.92,0.0
54,6.56,0.0
55,7.2,0.0
56,7.84,11.0
57,8.48,0.0
58,9.12,0.0
59,9.76,0.0
60,10.4,0.0
61,11.04,0.0
62,11.68,5.0
63,12.32,0.0
64,12.96,0.0
65,13.6,0.0
66,14.24,0.0
67,14.88,0.0
68,15.52,7.0
69,16.16,0.0
70,16.8,0.0
71,17.44,0.0
72,18.08,0.0
73,18.72,0.0
74,19.36,0.0
75,20.0,6.0
76,20.64,0.0
77,21.28,0.0
78,21.92,0.0
79,22.56,0.0
80,23.2,0.0
81,23.84,3.0
82,24.48,0.0
83,25.12,0.0
84,25.76,0.0
85,26.4,0.0
86,27.04,0.0
87,27.68,2.0
88,28.32,0.0
89,28.96,0.0
90,29.6,0.0
91,30.24,0.0
92,30.88,0.0
93,31.52,2.0
94,32.16,0.0
95,32.8,0.0
96,33.44,0.0
97,34.08,0.0
98,34.72,0.0
99,35.36,0.0
