,0
0,-0.0385647117011
1,-0.073977923863
2,-0.110753366322
3,-0.148393606674
4,-0.186271831885
5,-0.223669460849
6,-0.25984199224
7,-0.29409947039
8,-0.325880926382
9,-0.354803986855
10,-0.380680394479
11,-0.403499895902
12,-0.423393120586
13,-0.440586326166
14,-0.455358427619
15,-0.468006311351
16,-0.478820356831
17,-0.488069404002
18,-0.495993157286
19,-0.502799781413
20,-0.508666741483
21,-0.513743420373
22,-0.518154516052
23,-0.522003599455
24,-0.525376485017
25,-0.528344245367
26,-0.530965811605
27,-0.533290162879
28,-0.535358140451
29,-0.5372039344
30,-0.538856293426
31,-0.540339505196
32,-0.541674189065
33,-0.542877936834
34,-0.543965831119
35,-0.544950865533
36,-0.545844286191
37,-0.546655870232
38,-0.54739415383
39,-0.54806661966
40,-0.54867985172
41,-0.549239663779
42,-0.549751206467
43,-0.550219056978
44,-0.55064729456
45,-0.551039564363
46,-0.551399131664
47,-0.551728928144
48,-0.552031591543
49,-0.552309499791
50,-0.552564800485
51,-0.552799436465
52,-0.553015168073
53,-0.553213592592
54,-0.55339616129
55,-0.553564194392
56,-0.553718894293
57,-0.553861357234
58,-0.553992583657
59,-0.554113487407
60,-0.55422490393
61,-0.5543275976
62,-0.554422268268
63,-0.554509557137
64,-0.554590052045
65,-0.554664292216
66,-0.55473277254
67,-0.554795947448
68,-0.554854234404
69,-0.55490801708
70,-0.554957648225
71,-0.55500345228
72,-0.555045727745
73,-0.555084749339
74,-0.555120769971
75,-0.55515402253
76,-0.555184721525
77,-0.555213064577
78,-0.555239233791
79,-0.555263397004
80,-0.555285708934
81,-0.555306312224
82,-0.555325338411
83,-0.555342908802
84,-0.555359135291
85,-0.555374121094
86,-0.55538796144
87,-0.555400744194
88,-0.555412550437
89,-0.555423454992
90,-0.55543352692
91,-0.555442829959
92,-0.555451422949
93,-0.555459360202
94,-0.555466691862
95,-0.55547346422
96,-0.555479720019
97,-0.555485498721
98,-0.555490836768
99,-0.555495767807
100,-0.555500322912
101,-0.555504530776
102,-0.555508417898
103,-0.555512008753
104,-0.555515325941
105,-0.555518390337
106,-0.555521221221
107,-0.5555238364
108,-0.555526252321
109,-0.555528484175
110,-0.555530545996
111,-0.555532450743
112,-0.555534210388
113,-0.555535835991
114,-0.555537337766
115,-0.55553872515
116,-0.555540006859
117,-0.555541190944
118,-0.555542284845
119,-0.55554329543
120,-0.555544229048
121,-0.555545091563
122,-0.555545888389
123,-0.555546624532
